N,n_newtonDefault_gradient_DP,o_newtonDefault_gradient_DP,n_newtonDefault_gradient_AVX,o_newtonDefault_gradient_AVX
10,931.1883,922.5720,0,0
32,2088.6303,2000.1730,0,0
50,2511.1125,2403.0949,0,0
64,2745.0944,2693.0924,0,0
100,3136.9294,3305.4282,0,0
128,3309.9263,3272.2939,0,0
200,3723.1696,3868.8089,0,0
250,3807.5415,4007.4943,0,0
256,3889.7236,3825.4549,0,0
300,3757.9613,3989.4540,0,0
400,4008.0033,4265.4397,0,0
512,4053.4144,4383.1320,0,0
600,3538.1147,4418.6393,0,0
1000,3907.3879,4197.3290,0,0
1024,3913.6094,4373.0737,0,0
2000,4130.1306,4468.2972,0,0
2048,4158.3538,4048.7584,0,0
3000,4062.6624,4249.3666,0,0
4096,4095.7602,4414.4251,0,0
