N,n_newtonGS_gradient,o_newtonGS_gradient
10,192179.0193,205642.1997
32,121250.6902,129369.2429
50,97643.9482,105446.1783
64,91259.4657,90713.3041
100,81852.9871,79975.0689
128,61946.5420,61919.8492
200,45596.4906,44593.6135
250,39100.0493,40692.9773
256,40164.9887,36751.7738
300,36281.5047,38884.9104
400,29684.5860,31560.2358
512,26019.2323,26746.3921
600,24524.7042,24421.5616
1000,22126.2861,20665.9673
1024,21836.1941,20213.2155
2000,15758.5255,17393.7093
2048,15201.3968,18137.2628
3000,13823.6136,15288.9003
4096,13841.3061,15635.0665
