N,n_newtonDefault_DP,o_newtonDefault_DP,n_newtonDefault_AVX,o_newtonDefault_AVX
10,1.3350,,0.5535,
32,38.5355,,30.8508,
50,136.8431,,119.8808,
64,275.3405,,248.5242,
100,916.8089,,860.2667,
128,1652.6615,,1573.5631,
200,3855.5949,,3738.2835,
250,4974.3484,,4854.0805,
256,4997.2101,,4878.8120,
300,5778.6286,,5661.9557,
400,6674.1646,,6573.3356,
512,7236.9336,,7151.6562,
600,7593.1093,,7516.8151,
1000,6608.2917,,6568.5280,
1024,5984.6356,,5949.4715,
2000,4234.4501,,4221.7285,
2048,4104.6360,,4092.5938,
3000,3959.3770,,3951.4507,
4096,3962.8407,,3957.0316,
